127.0.0.1 - - [22/Jan/2017:11:21:38 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:39 +0800] "GET /91fd/mgt HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/ HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mm/assets/css/amazeui.min.css HTTP/1.1" 200 256317
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mm/assets/js/jquery.min.js HTTP/1.1" 200 84344
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/css/tr.css HTTP/1.1" 200 9284
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mm/assets/js/amazeui.min.js HTTP/1.1" 200 204221
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/layer/layer.js HTTP/1.1" 200 19843
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/images/logo_mgt.png HTTP/1.1" 200 12080
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mm/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/layer/skin/layer.css HTTP/1.1" 200 14064
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/images/iphone-banner.jpg HTTP/1.1" 200 56393
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/images/iphone-banner2.jpg HTTP/1.1" 200 69605
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/images/fd_newyear2017_bg01.png HTTP/1.1" 200 157359
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:44 +0800] "GET /91fd/mgt/images/fd_newyear2017_bg02.jpg HTTP/1.1" 200 119569
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:45 +0800] "GET /91fd/orand HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:45 +0800] "GET /91fd/mm/images/fd152.png HTTP/1.1" 200 11049
0:0:0:0:0:0:0:1 - - [22/Jan/2017:11:37:54 +0800] "POST /91fd/mgt/loginSave.xhtml HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [22/Jan/2017:12:30:29 +0800] "POST /91fd/mgt/loginSave.xhtml HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Jan/2017:12:30:31 +0800] "GET /91fd/mgt/ HTTP/1.1" 200 13346
0:0:0:0:0:0:0:1 - - [22/Jan/2017:12:30:31 +0800] "GET /91fd/mm/assets/js/amazeui.min.js HTTP/1.1" 304 -
